id;protocolo;forma_envio;numero_amostras;especie;numero_animais;acometidos;pricipal_suspeita;data_inicial;material_recebido;acondicionamento;condicao_material;status;tipo_med_vet;valor_total;tipo_pagamento;tipo;situacao
1;Norfolk Algodão Carro;Plástico;30432;Território;16045;Account RSS microchip;Lindo;2021-04-12;B2C Human;Jogos Rodovia Granito;Rio;Zealand Tocantins;deposit models;30176;Planner;primary Belarussian;Metal Togo
2;Esportes;RAM;24545;Computador navigating Configurable;91911;SMTP intangible;convergence hack;2021-04-13;programming;User-friendly Dollar Espírito;extensible;Santa;overriding;55727;database Automotivo;HTTP;Re-engineered Madeira Metal
3;coral Turismo;Bola SDD;66037;generation override;65670;Ergonômico Lustroso;Calças deposit;2021-04-13;Credit parsing;Response;generation;intuitive;driver Cambridgeshire Communications;46817;Sergipe ROI;Casa;attitude-oriented Chapéu Designer
4;Grosso turquesa Feito;Espírito;79372;Gostoso parsing Licenciado;24058;Assistant dynamic engineer;secondary;2021-04-13;Pequeno;Atum;Roraima Goiás;Principal;Phased;46776;Alemanha Índia;Vision-oriented;architecture firewall Genérico
5;Cuba synthesize;indexing RAM;7769;multi-byte Proactive Sem;512;loyalty Congelado synthesize;Chade Equador Mesa;2021-04-12;card;content online;verde middleware;Concreto deliverables Licenciado;Savings infrastructures invoice;47668;Riyal;blockchains Associate disintermediate;Kenyan
6;Program Consultant;User-centric Dynamic optical;53420;Santa Account systematic;57589;Liaison;Congelado;2021-04-12;Rufiyaa Personal Developer;syndicate Forward Applications;Metrics whiteboard Bahia;Yen;parsing next-generation;68616;açafrão synthesizing;upward-trending neural;Sul
7;synthesizing;Quiribati Advanced;54232;Refinado alarm Account;81323;THX;deposit;2021-04-13;Human monitor;Camiseta Concreto;ubiquitous invoice;invoice;Architect;81766;bordô;Marginal Holanda Aço;Implementation Genérico Camiseta
8;functionalities;Implementation cobre;28141;Macio;68564;neural Turismo functionalities;withdrawal Grosso middleware;2021-04-13;asynchronous;Designer strategic;Alameda payment;withdrawal;Beleza index cross-platform;8187;context-sensitive Loan visionary;mobile;AI Frango calculate
9;platforms Buckinghamshire;Fresco Assurance Berkshire;64381;SMTP Architect;34641;incubate;Security Dollar Chapéu;2021-04-12;Infrastructure;Account;Internal e-business;Legacy ubiquitous Indonésia;wireless dourado Casa;11974;Congelado Roraima;SCSI;Markets bluetooth
10;vortals;Intranet wireless violeta;25474;Buckinghamshire;76867;group Direct Travessa;hacking Prático parsing;2021-04-12;Mercearia Orchestrator;Paradigm generating;International;whiteboard Usability;methodologies;99868;Borders;array Paulo Borracha;technologies full-range
